Date,Rate
2025-11-11,280.7
2025-11-12,280.7
2025-11-13,280.7
2025-11-14,280.7
2025-11-15,280.7
2025-11-16,280.7
2025-11-17,280.7
2025-11-18,280.7
2025-11-19,280.7
2025-11-20,280.625
2025-11-21,280.625
2025-11-22,280.625
2025-11-23,280.625
2025-11-24,280.625
2025-11-25,280.625
2025-11-26,280.575
2025-11-27,280.55
2025-11-28,280.525
2025-11-29,280.525
2025-11-30,280.525
2025-12-01,280.5
2025-12-02,280.45
2025-12-03,280.45
2025-12-04,280.45
2025-12-05,280.45
2025-12-06,280.45
2025-12-07,280.45
2025-12-08,280.45
2025-12-09,280.375
2025-12-10,280.35
2025-12-11,280.362
2025-12-12,280.3
